Timestamp, Decibels, Group
"1429693773167","-1.9987293527648855","Control"
"1429693774223","-3.9268120932752764","Control"
"1429693775271","0.365377726221745","Control"
"1429693776317","-7.256137381732484","Control"
"1429693777205","-8.723349451236157","Control"
"1429693778248","-0.8830392769051343","Control"
"1429693779303","5.850044005690329","Control"
"1429693780375","-1.4876472633171225","Control"
"1429693781425","1.316848330899344","Control"
"1429693782470","-2.3625894492852653","Control"
"1429693783523","-7.815228480898284","Control"
"1429693784580","-7.720815707446597","Control"
"1429693785620","-9.856880779649908","Control"
"1429693786664","-7.635163031280284","Control"
"1429693787703","-8.749736984355522","Control"
"1429693788760","-6.268598582386917","Control"
"1429693789796","-7.413318476107512","Control"
"1429693790845","-7.8628225158053775","Control"
"1429693791885","-8.67954759523348","Control"
"1429693792932","-8.558064640989615","Control"
"1429693793979","-10.214375255043995","Control"
"1429693795025","-10.609013928426364","Control"
"1429693796076","-3.6091212891626263","Control"
"1429693797121","-1.8820844881742311","Control"
"1429693798166","2.18932099904185","Control"
"1429693799207","0.9093572870654676","Control"
"1429693800264","0.39616786707104956","Control"
"1429693801339","1.0244801073556051","Control"
"1429693802387","1.3692146336118474","Control"
"1429693803427","-2.0882753998597705","Control"
"1429693804465","-3.7022290371933058","Control"
"1429693805508","-7.744322865605291","Control"
"1429693806564","-10.5981088552575","Control"
"1429693807607","-3.4353977054607734","Control"
"1429693808643","-7.666211820867566","Control"
"1429693809695","-6.857465879531821","Control"
"1429693810741","-6.1306722949025625","Control"
"1429693811785","-5.905553335497798","Control"
"1429693812824","-7.689571466425544","Control"
"1429693813882","-5.538795820886807","Control"
"1429693814926","8.33527492817775","Control"
"1429693815976","-6.8787461424540375","Control"
"1429693817030","-4.335696211769765","Control"
"1429693818076","-8.49795443819511","Control"
"1429693819143","-8.540847807526895","Control"
"1429693820184","-5.222040975280598","Control"
"1429693821261","-4.539448644793752","Control"
"1429693822306","-7.823142731685523","Control"
"1429693823350","-8.345268852787335","Control"
"1429693824401","-5.490237261779524","Control"
"1429693825445","-9.927212254106651","Control"
"1429693826495","-4.939125574933343","Control"
"1429693827545","-1.5144142787623671","Control"
"1429693828595","-4.458448154408398","Control"
"1429693829640","-3.1072354839387426","Control"
"1429693830685","-11.565484686142435","Control"
"1429693831727","-9.100275703114278","Control"
"1429693832765","-13.122350088375017","Control"
"1429693833811","-12.77944149321467","Control"
"1429693834859","-2.6110194008174075","Control"
